UnitsID,UnitsName,UnitsType,UnitsAbbreviation
171,megapascal                                                                                                                                                                                                                                                     ,Pressure/Stress                                                                                                                                                                                                                                                ,MPa                                                                                                                                                                                                                                                            
172,becquerel                                                                                                                                                                                                                                                      ,Radioactivity                                                                                                                                                                                                                                                  ,Bq                                                                                                                                                                                                                                                             
173,becquerels per gram                                                                                                                                                                                                                                            ,Radioactivity                                                                                                                                                                                                                                                  ,Bq/g                                                                                                                                                                                                                                                           
174,curie                                                                                                                                                                                                                                                          ,Radioactivity                                                                                                                                                                                                                                                  ,Ci                                                                                                                                                                                                                                                             
175,picocurie                                                                                                                                                                                                                                                      ,Radioactivity                                                                                                                                                                                                                                                  ,pCi                                                                                                                                                                                                                                                            
176,ohm                                                                                                                                                                                                                                                            ,Resistance                                                                                                                                                                                                                                                     ,ohm                                                                                                                                                                                                                                                            
177,ohm meter                                                                                                                                                                                                                                                      ,Resistivity                                                                                                                                                                                                                                                    ,ohm m                                                                                                                                                                                                                                                          
178,picocuries per gram                                                                                                                                                                                                                                            ,Specific Activity                                                                                                                                                                                                                                              ,pCi/g                                                                                                                                                                                                                                                          
179,picocuries per liter                                                                                                                                                                                                                                           ,Specific Activity                                                                                                                                                                                                                                              ,pCi/L                                                                                                                                                                                                                                                          
180,picocuries per milliliter                                                                                                                                                                                                                                      ,Specific Activity                                                                                                                                                                                                                                              ,pCi/ml                                                                                                                                                                                                                                                         
181,hour minute                                                                                                                                                                                                                                                    ,Time                                                                                                                                                                                                                                                           ,hhmm                                                                                                                                                                                                                                                           
182,year month day                                                                                                                                                                                                                                                 ,Time                                                                                                                                                                                                                                                           ,yymmdd                                                                                                                                                                                                                                                         
183,year day (Julian)                                                                                                                                                                                                                                              ,Time                                                                                                                                                                                                                                                           ,yyddd                                                                                                                                                                                                                                                          
184,inches per day                                                                                                                                                                                                                                                 ,Velocity                                                                                                                                                                                                                                                       ,in/d                                                                                                                                                                                                                                                           
185,inches per week                                                                                                                                                                                                                                                ,Velocity                                                                                                                                                                                                                                                       ,in/week                                                                                                                                                                                                                                                        
186,inches per storm                                                                                                                                                                                                                                               ,Precipitation                                                                                                                                                                                                                                                  ,in/storm                                                                                                                                                                                                                                                       
187,thousand acre feet                                                                                                                                                                                                                                             ,Volume                                                                                                                                                                                                                                                         ,10^3 ac ft                                                                                                                                                                                                                                                     
188,milliliter                                                                                                                                                                                                                                                     ,Volume                                                                                                                                                                                                                                                         ,ml                                                                                                                                                                                                                                                             
189,cubic feet per second days                                                                                                                                                                                                                                     ,Volume                                                                                                                                                                                                                                                         ,cfs d                                                                                                                                                                                                                                                          
190,thousand gallons                                                                                                                                                                                                                                               ,Volume                                                                                                                                                                                                                                                         ,10^3 gal                                                                                                                                                                                                                                                       
191,million gallons                                                                                                                                                                                                                                                ,Volume                                                                                                                                                                                                                                                         ,10^6 gal                                                                                                                                                                                                                                                       
192,microsiemens per centimeter                                                                                                                                                                                                                                    ,Electrical Conductivity                                                                                                                                                                                                                                        ,uS/cm                                                                                                                                                                                                                                                          
193,practical salinity units                                                                                                                                                                                                                                       ,Salinity                                                                                                                                                                                                                                                       ,psu                                                                                                                                                                                                                                                            
194,decibel                                                                                                                                                                                                                                                        ,Sound                                                                                                                                                                                                                                                          ,dB                                                                                                                                                                                                                                                             
195,cubic centimeters per gram                                                                                                                                                                                                                                     ,Specific Volume                                                                                                                                                                                                                                                ,cm^3/g                                                                                                                                                                                                                                                         
196,square meters per gram                                                                                                                                                                                                                                         ,Specific Surface Area                                                                                                                                                                                                                                          ,m^2/g                                                                                                                                                                                                                                                          
197,short tons per acre foot                                                                                                                                                                                                                                       ,Concentration                                                                                                                                                                                                                                                  ,ton/ac ft                                                                                                                                                                                                                                                      
198,grams per cubic centimeter                                                                                                                                                                                                                                     ,Concentration                                                                                                                                                                                                                                                  ,g/cm^3                                                                                                                                                                                                                                                         
199,milligrams per liter                                                                                                                                                                                                                                           ,Concentration                                                                                                                                                                                                                                                  ,mg/L                                                                                                                                                                                                                                                           
200,nanograms per cubic meter                                                                                                                                                                                                                                      ,Concentration                                                                                                                                                                                                                                                  ,ng/m^3                                                                                                                                                                                                                                                         
201,nanograms per liter                                                                                                                                                                                                                                            ,Concentration                                                                                                                                                                                                                                                  ,ng/L                                                                                                                                                                                                                                                           
202,grams per liter                                                                                                                                                                                                                                                ,Concentration                                                                                                                                                                                                                                                  ,g/L                                                                                                                                                                                                                                                            
203,micrograms per cubic meter                                                                                                                                                                                                                                     ,Concentration                                                                                                                                                                                                                                                  ,ug/m^3                                                                                                                                                                                                                                                         
204,micrograms per liter                                                                                                                                                                                                                                           ,Concentration                                                                                                                                                                                                                                                  ,ug/L                                                                                                                                                                                                                                                           
205,parts per million                                                                                                                                                                                                                                              ,Concentration                                                                                                                                                                                                                                                  ,ppm                                                                                                                                                                                                                                                            
206,parts per billion                                                                                                                                                                                                                                              ,Concentration                                                                                                                                                                                                                                                  ,ppb                                                                                                                                                                                                                                                            
207,parts per trillion                                                                                                                                                                                                                                             ,Concentration                                                                                                                                                                                                                                                  ,ppt                                                                                                                                                                                                                                                            
208,parts per quintillion                                                                                                                                                                                                                                          ,Concentration                                                                                                                                                                                                                                                  ,ppqt                                                                                                                                                                                                                                                           
209,parts per quadrillion                                                                                                                                                                                                                                          ,Concentration                                                                                                                                                                                                                                                  ,ppq                                                                                                                                                                                                                                                            
210,per mille                                                                                                                                                                                                                                                      ,Concentration                                                                                                                                                                                                                                                  ,%o                                                                                                                                                                                                                                                             
211,microequivalents per liter                                                                                                                                                                                                                                     ,Concentration                                                                                                                                                                                                                                                  ,ueq/L                                                                                                                                                                                                                                                          
212,milliequivalents per liter                                                                                                                                                                                                                                     ,Concentration                                                                                                                                                                                                                                                  ,meq/L                                                                                                                                                                                                                                                          
213,milliequivalents per 100 gram                                                                                                                                                                                                                                  ,Concentration                                                                                                                                                                                                                                                  ,meq/100 g                                                                                                                                                                                                                                                      
214,milliosmols per kilogram                                                                                                                                                                                                                                       ,Concentration                                                                                                                                                                                                                                                  ,mOsm/kg                                                                                                                                                                                                                                                        
215,nanomoles per liter                                                                                                                                                                                                                                            ,Concentration                                                                                                                                                                                                                                                  ,nmol/L                                                                                                                                                                                                                                                         
216,picograms per cubic meter                                                                                                                                                                                                                                      ,Concentration                                                                                                                                                                                                                                                  ,pg/m^3                                                                                                                                                                                                                                                         
217,picograms per liter                                                                                                                                                                                                                                            ,Concentration                                                                                                                                                                                                                                                  ,pg/L                                                                                                                                                                                                                                                           
218,picograms per milliliter                                                                                                                                                                                                                                       ,Concentration                                                                                                                                                                                                                                                  ,pg/ml                                                                                                                                                                                                                                                          
219,tritium units                                                                                                                                                                                                                                                  ,Concentration                                                                                                                                                                                                                                                  ,TU                                                                                                                                                                                                                                                             
220,jackson turbidity units                                                                                                                                                                                                                                        ,Turbidity                                                                                                                                                                                                                                                      ,JTU                                                                                                                                                                                                                                                            
221,nephelometric turbidity units                                                                                                                                                                                                                                  ,Turbidity                                                                                                                                                                                                                                                      ,NTU                                                                                                                                                                                                                                                            
222,nephelometric turbidity multibeam unit                                                                                                                                                                                                                         ,Turbidity                                                                                                                                                                                                                                                      ,NTMU                                                                                                                                                                                                                                                           
223,nephelometric turbidity ratio unit                                                                                                                                                                                                                             ,Turbidity                                                                                                                                                                                                                                                      ,NTRU                                                                                                                                                                                                                                                           
224,formazin nephelometric multibeam unit                                                                                                                                                                                                                          ,Turbidity                                                                                                                                                                                                                                                      ,FNMU                                                                                                                                                                                                                                                           
225,formazin nephelometric ratio unit                                                                                                                                                                                                                              ,Turbidity                                                                                                                                                                                                                                                      ,FNRU                                                                                                                                                                                                                                                           
226,formazin nephelometric unit                                                                                                                                                                                                                                    ,Turbidity                                                                                                                                                                                                                                                      ,FNU                                                                                                                                                                                                                                                            
227,formazin attenuation unit                                                                                                                                                                                                                                      ,Turbidity                                                                                                                                                                                                                                                      ,FAU                                                                                                                                                                                                                                                            
228,formazin backscatter unit                                                                                                                                                                                                                                      ,Turbidity                                                                                                                                                                                                                                                      ,FBU                                                                                                                                                                                                                                                            
229,backscatter units                                                                                                                                                                                                                                              ,Turbidity                                                                                                                                                                                                                                                      ,BU                                                                                                                                                                                                                                                             
